meal_description,carb,protein,fat,energy
region pt 100g Ervilhas secas cozidas,18.1,6.9,0.4,114
region pt 100g Ervilhas secas cruas,49.4,22.7,1.3,330
region pt 100g Ervilhas grao congeladas cozidas,7.5,5.6,0.5,72
region pt 100g Ervilhas grao congeladas cruas,7.0,5.3,0.5,68
region pt 100g Ervilhas grao frescas cozidas,7.9,6.2,0.7,72
region pt 100g Ervilhas grao frescas cruas,8.6,6.4,0.7,76
region pt 100g Ervilhas vagens cozidas,3.5,2.8,0.2,30
region pt 100g Ervilhas vagens cruas,3.9,3.1,0.2,33
region pt 100g Espadarte cru,0.0,17.8,2.9,97
region pt 100g Espadarte grelhado,0.0,21.3,3.4,116
region pt 100g Espargos cozidos,2.2,2.2,0.0,20
region pt 100g Espargos crus,2.7,2.1,0.0,22
region pt 100g Esparguete cozido,19.9,3.4,0.6,102
region pt 100g Esparguete cru,71.1,12.1,1.9,360
region pt 100g Esparguete estufado com cenoura e azeite,17.6,3.0,3.9,121
region pt 100g Esparguete estufado com cenoura e margarina,17.6,3.0,3.2,115
region pt 100g Espetada de porco grelhada,1.3,13.6,24.8,285
region pt 100g Espetada de vaca grelhada,0.8,23.5,12.8,213
region pt 100g Espinafres crus,0.8,2.6,0.9,27
region pt 100g Estragao fresco,6.3,3.4,1.1,55
region pt 100g Estragao seco,42.8,22.8,7.2,363
region pt 100g Faneca crua,0.1,19.0,0.6,82
region pt 100g Farelo de trigo,24.9,16.2,5.3,293
region pt 100g Farinha de alfarroba,85.6,3.2,0.3,368
region pt 100g Farinha de aveia,57.0,14.5,7.3,363
region pt 100g Farinha de centeio,77.3,7.8,1.2,370
region pt 100g Farinha de centeio tipo 70,78.5,6.6,1.1,364
region pt 100g Farinha de centeio tipo 85,76.0,9.0,1.3,375
region pt 100g Farinha de cevada,64.4,8.8,2.5,330
region pt 100g Farinha de espelta,61.8,14.0,2.3,339
region pt 100g Farinha de milho tipo 70,75.3,8.3,2.2,359
region pt 100g Farinha de pau ,84.6,1.4,0.3,350
region pt 100g Farinha de trigo ,73.7,8.5,1.5,349
region pt 100g Farinha de trigo integral,65.2,9.6,2.4,338
region pt 100g Farinha de trigo tipo 150,73.0,9.1,1.8,352
region pt 100g Farinha de trigo tipo 55,74.3,7.8,1.1,344
region pt 100g Farinha lactea 5 frutos tipo Cerelac ,65.0,15.0,9.0,408
region pt 100g Farinha lactea macas tipo Cerelac ,66.0,15.0,9.0,412
region pt 100g Farinha lactea tipo Cerelac ,68.0,15.0,9.0,416
region pt 100g Farinheira cozida sem adicao de sal,26.4,4.8,30.7,404
region pt 100g Farinheira crua,26.7,4.8,41.0,497
region pt 100g Favada a portuguesa,8.4,8.0,5.9,130
region pt 100g Favas frescas cozidas,7.4,6.7,0.5,73
region pt 100g Favas frescas cruas,8.5,7.4,0.5,80
region pt 100g Favas secas cozidas ,10.7,7.9,0.6,90
region pt 100g Favas secas cruas,32.8,25.8,1.3,301
region pt 100g Feijao branco cozido ,14.6,6.6,0.5,103
region pt 100g Feijao branco cru seco,43.9,21.3,0.1,308
region pt 100g Feijao catarino cru seco,47.9,20.3,0.1,302
region pt 100g Feijao encarnado cru seco,47.9,21.5,0.5,310
region pt 100g Feijao frade cru seco,55.3,21.4,1.5,339
region pt 100g Feijao frade demolhado cozido,18.1,8.8,0.7,123
region pt 100g Feijao manteiga cozido ,14.0,7.8,0.6,107
region pt 100g Feijao manteiga cru seco,42.6,24.0,0.1,313
region pt 100g Feijao preto cru seco,47.9,22.4,1.0,318
region pt 100g Feijao-verde fresco cozido,3.5,1.8,0.3,30
region pt 100g Feijao-verde fresco cru,3.8,1.9,0.3,32
region pt 100g Feijoa ,9.8,0.9,0.5,52
region pt 100g Feijoada com carne de porco,13.3,13.6,7.2,187
region pt 100g Feijoada com carne de porco e de vaca,13.3,13.7,7.5,191
region pt 100g Feijoada com enchidos e ovos,14.1,9.0,15.1,240
region pt 100g Fermento em po,34.4,4.7,0.0,156
region pt 100g Fermento fresco de padeiro,1.0,12.9,0.9,78
region pt 100g Fermento seco de padeiro,3.2,38.3,2.5,228
region pt 100g Fiambre de aves,2.7,13.8,1.6,83
region pt 100g Fiambre de porco,1.3,15.3,4.6,111
region pt 100g Fiambre pa,1.3,14.0,5.1,112
region pt 100g Fiambre peito de frango,2.8,13.7,1.3,82
region pt 100g Fiambre peito de peru,2.6,13.8,1.9,85
region pt 100g Fiambre perna,1.2,16.5,4.1,111
region pt 100g Figado de galinha,0.0,17.7,2.3,92
region pt 100g Figado de porco cru,0.0,20.9,5.0,129
region pt 100g Figado de porco frito com margarina e banha,0.0,23.2,13.1,211
region pt 100g Figado de porco frito sem molho,0.0,25.2,8.8,180
region pt 100g Figado de porco grelhado,0.0,26.3,6.3,162
region pt 100g Figado de vaca cru,2.1,20.9,4.4,132
region pt 100g Figado de vaca frito sem molho,2.5,24.5,7.0,171
region pt 100g Figado de vitela cru,1.5,20.3,3.5,119
region pt 100g Figado de vitela frito com banha e manteiga,1.7,22.6,11.5,201
region pt 100g Figado de vitela frito sem molho,1.5,24.6,8.3,179
region pt 100g Figado de vitela grelhado,1.9,25.7,4.7,153
region pt 100g Figo ,16.3,0.9,0.5,79
region pt 100g Figo cristalizado,71.2,0.5,0.4,295
region pt 100g Figo seco,58.3,2.3,0.6,270
region pt 100g Filetes de bacalhau fritos,5.1,19.2,10.7,194
region pt 100g Fisalis,11.7,1.8,0.6,68
region pt 100g Flocos de arroz,83.4,7.0,1.5,379
region pt 100g Flocos de aveia,61.7,13.5,5.8,366
region pt 100g Flocos de centeio,69.0,12.0,2.0,352
region pt 100g Flocos de cereais e frutos secos tipo Muesli,69.1,10.4,6.3,388
region pt 100g Flocos de cevada,64.4,8.3,2.0,324
region pt 100g Flocos de milho tipo Corn Flakes,81.1,7.9,1.1,374
region pt 100g Flocos de trigo,69.0,14.0,2.5,373
region pt 100g Flocos de trigo com figos tipo Nestum,76.3,9.0,1.5,370
region pt 100g Flocos de trigo com mel tipo Nestum,84.6,8.2,1.0,385
region pt 100g Flocos de trigo e arroz enriquecidos com vitaminas calcio e ferro,79.2,7.5,1.3,372
region pt 100g Flocos de trigo integral tipo All-Bran Flakes,64.2,10.2,1.9,349
region pt 100g Flor de sal,0.0,0.0,0.0,0
region pt 100g Folhas de rabanete cruas,3.9,3.5,0.5,39
region pt 100g Framboesa,5.1,0.9,0.6,49
region pt 100g Framboesa desidratada,30.9,5.4,3.6,293
region pt 100g Francesinha com molho,6.5,13.3,17.7,249
region pt 100g Frango  peito e asa com pele cozidos,0.0,27.2,10.3,202
region pt 100g Frango  peito e asa com pele estufados com azeite e margarina,1.7,18.5,13.5,204
region pt 100g Frango  peito e asa com pele estufados com margarina,1.7,18.5,13.2,201
region pt 100g Frango  peito e asa com pele estufados sem molho,0.0,29.2,11.8,223
region pt 100g Frango  peito e asa com pele grelhados,0.0,28.7,13.4,235
region pt 100g Frango  perna com costa e pele assada sem molho,0.0,26.9,13.7,231
region pt 100g Frango  perna com costa e pele cozida,0.0,25.5,10.6,197
region pt 100g Frango  perna com costa e pele estufada com azeite e margarina,1.7,17.3,13.8,203
region pt 100g Frango  perna com costa e pele estufada com margarina,1.7,17.3,13.5,200
region pt 100g Frango  perna com costa e pele estufada sem molho,0.0,26.9,11.9,215
region pt 100g Frango  peito e asa com pele crus,0.0,20.4,12.7,196
region pt 100g Frango  perna com costa e pele crua,0.0,19.1,13.0,195
region pt 100g Frango  perna com costa e pele grelhada,0.0,26.9,13.7,231
region pt 100g Frango inteiro com pele assado sem molho,0.0,27.6,14.3,239
region pt 100g Frango inteiro com pele cozido,0.0,26.1,11.1,204
region pt 100g Frango inteiro com pele cru,0.0,19.6,13.6,201
region pt 100g Frango inteiro com pele estufado com azeite e margarina,1.8,19.1,15.4,224
region pt 100g Frango inteiro com pele estufado com margarina,1.8,19.1,15.1,221
region pt 100g Frango inteiro com pele estufado sem molho,0.0,28.8,13.1,233
region pt 100g Frango inteiro com pele grelhado,0.0,27.6,14.3,239
region pt 100g Frango inteiro sem pele cozido,0.0,32.8,4.2,169
region pt 100g Frango inteiro sem pele cru,0.0,22.9,2.0,110
region pt 100g Frango inteiro sem pele estufado com azeite e margarina,1.7,21.0,4.1,129
region pt 100g Frango inteiro sem pele estufado com margarina,1.7,21.0,3.8,126
region pt 100g Frango inteiro sem pele estufado sem molho,0.0,33.2,5.8,185
region pt 100g Frango inteiro sem pele grelhado,0.0,31.0,4.9,168
region pt 100g Frango pele crua,0.0,9.7,48.3,474
region pt 100g Funcho fresco,2.6,2.8,0.4,32
region pt 100g Galinha de angola com pele crua,0.0,23.4,6.5,152
region pt 100g Gamba crua,0.0,21.5,0.2,88
region pt 100g Garoupa cozida,0.0,20.8,2.0,101
region pt 100g Garoupa crua,0.0,20.5,1.4,95
region pt 100g Garoupa grelhada,0.0,25.9,1.9,121
region pt 100g Gelado caseiro com bolachas e natas,36.5,5.1,21.2,358
region pt 100g Gelado caseiro com palitos la Reine,28.7,7.9,12.4,263
region pt 100g Gelado de agua ,32.6,0.4,0.0,132
region pt 100g Gelado de leite,21.7,3.6,10.9,199
region pt 100g Gelatina desidratada ,0.0,87.0,0.1,349
region pt 100g Gelatina preparada com ananas em conserva,21.6,2.2,0.0,97
region pt 100g Gelatina preparada com laranja e sumo de laranja,17.4,2.6,0.1,84
region pt 100g Geleia de casca de laranja,68.0,0.3,0.0,275
region pt 100g Gema de ovo de galinha crua,0.0,16.0,30.9,342
region pt 100g Gema de ovo de galinha pasteurizada,1.3,15.3,25.2,294
region pt 100g Gengibre fresco,15.8,1.8,0.8,82
region pt 100g Germen de trigo,41.8,28.1,9.6,391
region pt 100g Gin - Rum- Whisky,0.0,0.0,0.0,222
region pt 100g Ginja,11.5,0.9,0.3,57
region pt 100g Goiaba crua polpa,5.0,0.8,0.5,41
region pt 100g Goraz assado com cebola tomate azeite e oleo alimentar,1.5,14.8,5.1,117
region pt 100g Goraz cozido,0.0,19.2,3.5,108
region pt 100g Goraz cru,0.0,18.8,2.7,100
region pt 100g Goraz grelhado,0.0,22.4,3.2,118
region pt 100g Goraz no forno,0.7,18.7,2.7,110
region pt 100g Grao-de-bico cozido ,16.7,8.4,2.1,130
region pt 100g Grao-de-bico cru,51.4,19.0,5.0,354
region pt 100g Grelos de couve cozidos,1.5,1.9,0.4,22
region pt 100g Grelos de couve crus,2.5,2.4,0.4,28
region pt 100g Grelos de nabo cozidos,1.3,1.8,0.4,20
region pt 100g Grelos de nabo crus,2.3,2.4,0.5,29
region pt 100g Gressino,67.0,10.7,8.7,396
region pt 100g Groselha,5.0,1.1,0.5,52
region pt 100g Hamburguer de feijao manteiga frito com azeite,19.8,8.0,5.3,169
region pt 100g Hamburguer de feijao manteiga frito com oleo de milho,19.8,8.0,5.3,169
region pt 100g Hamburguer de peru frito,3.0,8.8,0.7,56
region pt 100g Hamburguer de porco frito sem molho,0.0,27.5,17.1,264
region pt 100g Hamburguer de porco grelhado,0.0,27.8,16.6,261
region pt 100g Hamburguer de vaca cru,0.0,20.2,6.8,142
region pt 100g Hamburguer de vaca frito ,1.2,19.1,13.8,207
region pt 100g Hamburguer de vaca grelhado,0.0,27.3,8.2,183
region pt 100g Hortela fresca,5.3,3.8,0.7,51
region pt 100g Imperador assado com cebola tomate azeite e oleo alimentar,1.4,13.7,3.1,94
region pt 100g Imperador cozido,0.0,19.9,0.5,84
region pt 100g Imperador cru,0.0,19.0,0.4,80
region pt 100g Imperador grelhado,0.0,23.0,0.5,97
region pt 100g Inhame cru ,25.7,1.5,0.3,114
region pt 100g Iogurte gordo aromatizado acucarado ,8.5,3.9,3.6,83
region pt 100g Iogurte gordo com polpa e/ou pedacos de fruta e cereais acucarado,15.8,4.2,3.2,114
region pt 100g Iogurte gordo com polpa e/ou pedacos de fruta acucarado ,12.4,4.2,3.2,96
region pt 100g Iogurte grego com fruta acucarado,13.7,2.7,5.0,113
region pt 100g Iogurte grego magro natural ,3.9,5.3,2.0,56
region pt 100g Iogurte grego natural,4.8,1.4,6.6,85
region pt 100g Iogurte liquido magro aromatizado acucarado ,11.6,3.2,0.3,62
region pt 100g Iogurte liquido meio gordo aromatizado acucarado ,11.5,3.0,1.3,70
region pt 100g Iogurte liquido meio gordo natural acucarado,11.2,3.1,1.4,70
region pt 100g Iogurte magro aromatizado acucarado ,11.8,5.0,0.1,69
region pt 100g Iogurte magro com cereais e edulcorantes,5.7,4.3,0.4,50
region pt 100g Iogurte magro natural ,5.2,4.6,0.2,42
region pt 100g Iogurte magro natural com edulcorantes ,6.3,5.0,0.1,47
region pt 100g Iogurte meio gordo aromatizado acucarado,11.3,4.3,1.8,79
region pt 100g Iogurte meio gordo com polpa e/ou pedacos de fruta acucarado,14.6,4.3,1.7,92
region pt 100g Iogurte meio gordo natural,5.0,4.2,1.8,54
region pt 100g Iogurte meio gordo natural acucarado ,13.1,4.7,2.1,91
region pt 100g Iogurte sem lactose enriquecido em proteina magro aromatizado com pedacos e/ou polpa de fruta acucarado,9.7,9.0,0.0,76
region pt 100g Iogurte sem lactose liquido magro aromatizado com polpa de fruta acucarado,16.0,3.1,0.2,78
region pt 100g Iogurte sem lactose liquido magro aromatizado com polpa de fruta com edulcorantes,5.0,3.3,0.1,34
region pt 100g Iogurte sem lactose liquido meio gordo aromatizado acucarado,11.8,2.8,1.4,71
region pt 100g Iogurte sem lactose liquido meio gordo aromatizado com polpa de fruta acucarado,12.5,2.6,1.3,73
region pt 100g Iogurte sem lactose liquido meio gordo natural acucarado,11.7,2.7,1.4,70
region pt 100g Iogurte sem lactose magro aromatizado com pedacos e/ou polpa de fruta com edulcorantes,4.8,4.8,0.1,42
region pt 100g Iogurte sem lactose magro natural,5.0,4.9,0.2,41
region pt 100g Iogurte sem lactose meio gordo aromatizado acucarado,12.0,3.5,1.5,76
region pt 100g Iogurte sem lactose meio gordo aromatizado com frutos secos e cereais acucarado,16.1,3.7,1.6,98
region pt 100g Iogurte sem lactose meio gordo aromatizado com pedacos e/ou polpa de fruta acucarado,13.6,3.7,1.3,83
region pt 100g Iogurte sem lactose meio gordo natural,4.5,3.8,1.5,48
region pt 100g Iogurte sem lactose meio gordo natural acucarado,12.2,3.5,1.5,78
region pt 100g Jarrete de porco,0.1,21.4,6.0,140
region pt 100g Javali cru,0.0,19.5,3.4,108
region pt 100g Jesuita,54.0,4.1,31.2,518
region pt 100g Lagosta cozida,0.2,20.6,0.8,90
region pt 100g Lagosta crua,0.1,18.2,0.7,79
region pt 100g Lagostim cozido,0.2,21.2,0.5,90
region pt 100g Lagostim cru,0.2,20.9,0.5,89
region pt 100g Lampreia crua,0.1,16.7,27.4,314
region pt 100g Lapas cruas,0.6,14.3,0.7,66
region pt 100g Laranja ,8.9,1.1,0.2,47
region pt 100g Lasanha a bolonhesa,9.2,7.7,12.4,183
region pt 100g Lebre crua,0.0,21.6,3.0,113
region pt 100g Leite condensado,56.4,7.8,9.0,338
region pt 100g Leite creme,19.5,5.9,6.8,163
region pt 100g Leite de cabra cru,4.6,3.8,4.0,70
region pt 100g Leite de coco enlatado,2.8,2.0,18.4,185
region pt 100g Leite de ovelha cru,4.2,5.1,6.2,93
region pt 100g Leite evaporado,9.8,6.6,7.8,136
region pt 100g Leite fermentado  gordo natural,4.5,4.0,3.6,67
region pt 100g Leite fermentado  sem lactose enriquecido com fibra magro aromatizado com pedacos e/ou polpa de fruta com sementes e/ou cereais com frutos secos e/ou de casca rija com edulcorantes ,6.6,4.2,0.8,57
region pt 100g Leite fermentado  sem lactose liquido meio gordo aromatizado com pedacos e/ou polpa de fruta acucarado,11.0,2.7,1.7,71
region pt 100g Leite fermentado  sem lactose magro natural com edulcorantes,6.2,5.3,0.4,51
region pt 100g Leite fermentado  sem lactose gordo natural,4.8,4.2,3.7,70
region pt 100g Leite fermentado  sem lactose magro aromatizado com pedacos e/ou polpa de fruta e/ou horticolas acucarado com edulcorantes,8.2,4.9,0.4,57
region pt 100g Leite gordo especial pasteurizado ,4.8,3.1,3.4,62
region pt 100g Leite gordo sem lactose enriquecido com vitaminas A D E e B9  UHT,4.6,3.0,3.5,62
region pt 100g Leite gordo pasteurizado,4.7,3.0,3.5,62
region pt 100g Leite gordo po,38.7,26.8,25.9,495
region pt 100g Leite gordo UHT,4.7,3.0,3.5,62
region pt 100g Leite humano,7.5,1.4,3.4,66
region pt 100g Leite humano colostro,6.3,2.3,2.8,60
region pt 100g Leite humano transicao,6.6,1.6,3.7,66
region pt 100g Leite magro de pastagem UHT ,4.9,3.1,0.1,33
region pt 100g Leite magro sem lactose UHT,5.1,3.4,0.2,36
region pt 100g Leite magro po,52.7,35.1,0.9,359
region pt 100g Leite magro UHT,4.9,3.4,0.2,35
region pt 100g Leite meio gordo aromatizado UHT ,7.9,3.0,1.8,60
region pt 100g Leite meio gordo de pastagem UHT,5.0,3.0,1.5,46
region pt 100g Leite meio gordo sem lactose UHT,5.1,3.3,1.6,48
region pt 100g Leite meio gordo po,45.6,30.7,13.5,427
region pt 100g Leite meio gordo UHT,4.9,3.3,1.6,47
region pt 100g Lentilhas secas cozidas ,16.7,9.1,0.3,115
region pt 100g Lentilhas vermelhas secas cruas,46.6,25.7,0.3,327
region pt 100g Lentilhas secas cruas,47.6,25.2,0.7,321
region pt 100g Lichia fresca,14.8,0.9,0.4,70
region pt 100g Licor beneditino,34.8,0.0,0.0,352
region pt 100g Licor de anis,36.0,0.0,0.0,385
region pt 100g Licor de ginja,19.0,0.1,0.0,239
region pt 100g Licor simples,24.4,0.0,0.0,294
region pt 100g Lima,1.7,0.7,0.2,31
region pt 100g Limao,1.9,0.5,0.3,31
region pt 100g Lingua de porco crua,0.0,16.3,17.2,220
region pt 100g Lingua de vaca crua,0.0,15.9,15.0,199
region pt 100g Lingua de vaca estufada sem molho,0.0,19.8,20.9,267
region pt 100g Linguado cru,0.0,20.1,0.2,82
region pt 100g Linguado frito,2.7,24.3,6.2,164
region pt 100g Linguado grelhado,0.0,23.1,0.2,94
region pt 100g Linguica,0.0,21.5,39.0,437
region pt 100g Lombo de porco assado,0.2,27.5,11.3,220
region pt 100g Lombo de porco assado com azeite e margarina,0.2,27.5,11.1,219
region pt 100g Lombo de porco assado com margarina,0.0,28.2,10.6,208
region pt 100g Lombo de porco assado com oleo alimentar e margarina,0.2,27.5,11.1,219
region pt 100g Lombo de porco assado sem molho,0.0,32.7,8.8,210
region pt 100g Lombo de porco cru,0.0,22.2,4.7,131
region pt 100g Lombo de porco frito,0.0,28.8,7.4,182
region pt 100g Lombo de porco frito com manteiga,0.0,28.8,7.2,180
region pt 100g Lombo de porco frito com margarina,0.0,28.8,7.6,184
region pt 100g Lombo de porco frito panado,8.5,25.3,12.5,249
region pt 100g Lombo de porco grelhado,0.0,29.1,8.1,189
region pt 100g Lombo de vaca magro assado com azeite e margarina,0.0,26.2,11.1,205
region pt 100g Lombo de vaca magro assado com azeite manteiga e oleo alimentar,0.0,26.2,11.4,207
region pt 100g Lombo de vaca magro assado com margarina,0.0,26.2,10.4,198
region pt 100g Lombo de vaca magro assado com oleo alimentar e margarina,0.0,26.2,11.1,205
region pt 100g Lombo de vaca magro assado sem molho,0.0,29.2,6.1,172
region pt 100g Lombo de vaca magro cru,0.0,21.0,3.3,114
region pt 100g Lombo de vaca magro no forno com tomate cebola cenoura e alho,2.5,11.9,6.8,128
region pt 100g Lombo de vitela assado com azeite e margarina,0.2,23.0,14.4,225
region pt 100g Lombo de vitela assado com azeite margarina e oleo alimentar,0.2,23.0,14.4,225
region pt 100g Lombo de vitela assado com margarina e oleo alimentar,0.2,23.0,14.4,225
region pt 100g Lombo de vitela assado sem molho,0.0,25.1,5.6,151
region pt 100g Lombo de vitela cru,0.0,19.9,7.6,148
region pt 100g Lombo de vitela frito com margarina,0.0,23.5,13.7,217
region pt 100g Lombo de vitela frito sem molho,0.0,24.9,10.6,195
region pt 100g Lombo de vitela grelhado,0.0,25.0,5.6,150
region pt 100g Lombo ou pa de cavalo assado com azeite e manteiga,0.1,22.7,8.0,167
region pt 100g Lombo ou pa de cavalo assado com margarina,0.1,22.7,7.3,161
region pt 100g Lombo ou pa de cavalo assado sem molho,0.0,24.2,4.3,136
region pt 100g Lombo ou pa de cavalo cru,0.0,19.6,2.3,99
region pt 100g Lombo ou pa de cavalo frito com manteiga,0.0,21.6,8.0,158
region pt 100g Lombo ou pa de cavalo frito com margarina,0.0,21.6,7.8,157
region pt 100g Lula crua,0.0,15.8,0.9,71
region pt 100g Lula estufada com cebola tomate e azeite,2.9,16.1,6.3,135
region pt 100g Lula grelhada,0.0,32.5,1.6,144
region pt 100g Maca ,13.1,0.2,0.5,62
region pt 100g Maca assada com acucar,23.9,0.2,0.5,106
region pt 100g Maca assada sem acucar,15.7,0.3,0.5,75
region pt 100g Maca com casca,13.4,0.2,0.5,64
region pt 100g Maca cozida com acucar,17.0,0.2,0.5,77
region pt 100g Maca cozida sem acucar,10.5,0.2,0.5,51
region pt 100g Maca desidratada,74.5,1.1,2.9,354
region pt 100g Maca seca,57.1,0.8,0.3,257
region pt 100g Maca sem casca,12.7,0.2,0.5,61
region pt 100g Madalena,54.7,4.9,22.6,443
region pt 100g Maionese caseira com ovo e azeite,0.0,4.0,71.2,657
region pt 100g Maionese caseira com ovo e oleo de soja,0.0,3.9,69.8,644
region pt 100g Malagueta vermelha fresca,4.3,1.8,0.3,31
region pt 100g Mandioca crua,33.8,1.0,0.3,145
region pt 100g Manga,11.7,0.5,0.3,59
region pt 100g Manga desidratada,67.4,2.9,1.7,340
region pt 100g Manjericao fresco,5.1,3.1,0.8,48
region pt 100g Manjericao seco,10.0,23.0,4.1,244
region pt 100g Manjerona seca,42.5,12.7,7.0,320
region pt 100g Manteiga com sal,0.7,0.1,81.8,739
region pt 100g Manteiga sem sal,0.7,0.1,83.0,750
region pt 100g Maracuja,5.7,2.6,0.4,52
region pt 100g Margarina,0.4,0.1,82.0,740
region pt 100g Margarina 3/4 de girassol,0.3,0.1,58.0,524
region pt 100g Margarina culinaria para folhados com sal,0.4,0.1,85.5,772
region pt 100g Margarina industrial para pastelaria com sal,0.4,0.1,80.5,727
region pt 100g Margarina vegetal culinaria 80% gordura com sal,0.4,0.1,80.0,722
region pt 100g Margarina vegetal culinaria com alho e sal,4.4,1.0,74.3,692
region pt 100g Marmelada,69.7,0.1,0.0,284
region pt 100g Marmelo,9.3,0.3,0.2,53
region pt 100g Maruca cozida,0.0,17.9,0.1,73
region pt 100g Maruca crua,0.0,17.2,0.1,70
region pt 100g Massa com ovo cozida,13.3,2.8,0.6,71
region pt 100g Massa com ovo crua,67.6,13.9,3.1,360
region pt 100g Massa de pimentao,4.4,2.6,1.0,44
region pt 100g Massa folhada congelada,31.8,5.0,27.5,398
region pt 100g Massa miuda crua,70.0,12.4,1.8,356
region pt 100g Massa para lasanha cozida,22.6,4.0,0.7,115
region pt 100g Massa para lasanha crua,71.4,12.0,2.1,359
region pt 100g Massa para pizza,52.5,7.8,4.8,289
region pt 100g Massa quebrada para quiche,52.4,5.5,29.2,498
region pt 100g Meia-desfeita de bacalhau,14.8,12.7,4.2,156
region pt 100g Mel,78.0,0.5,0.0,314
region pt 100g Mel de cana,77.4,0.3,0.0,311
region pt 100g Melaco,66.6,0.6,0.1,269
region pt 100g Melancia,5.5,0.4,0.2,26
region pt 100g Melao ,5.7,0.6,0.3,30
region pt 100g Meloa,4.2,0.6,0.1,23
region pt 100g Merengue,83.0,4.1,0.5,353
region pt 100g Mexilhao cozido sem sal,2.8,16.8,2.1,97
region pt 100g Mexilhao cru,2.0,12.1,1.5,70
region pt 100g Milho doce em conserva,18.4,2.8,1.7,106
region pt 100g Milho amido ,90.2,0.4,0.2,364
region pt 100g Milho grao seco cru,70.3,9.3,4.9,368
region pt 100g Millet cru seco,71.2,11.1,3.2,362
region pt 100g Minarina ,0.4,0.9,41.6,380
region pt 100g Mirtilo,6.4,0.5,0.6,43
region pt 100g Mirtilo desidratado,46.8,3.7,4.4,317
region pt 100g Miso pasta de soja fermentada com arroz integral e cevada,15.1,11.9,6.5,177
region pt 100g Molho Bechamel com manteiga,9.6,4.0,8.4,130
region pt 100g Molho Bechamel com margarina,9.9,3.6,9.5,140
region pt 100g Molho branco com caldo de carne de vaca,6.8,1.1,9.2,115
region pt 100g Molho branco com margarina,18.5,4.4,16.8,244
region pt 100g Molho de bife frito com manteiga,0.4,2.0,41.0,379
region pt 100g Molho de carne de vaca assada com azeite e margarina,0.3,2.1,64.0,586
region pt 100g Molho de carne de vaca assada com margarina,0.4,1.9,56.0,513
region pt 100g Molho de carne de vaca estufada com azeite e margarina,0.4,1.7,27.9,260
region pt 100g Molho de carne de vaca estufada com vegetais azeite e margarina,1.3,1.3,28.5,267
region pt 100g Molho de lombo de porco frito com banha,0.0,2.2,60.2,551
region pt 100g Molho de lombo de porco frito com banha e margarina,0.1,2.3,54.3,498
region pt 100g Molho de lombo de porco frito com margarina,0.2,2.3,48.5,447
region pt 100g Molho de lombo de vaca frito com creme vegetal sem sal,0.2,2.2,37.8,350
region pt 100g Molho de lombo de vaca frito com margarina,0.2,2.2,40.3,372
region pt 100g Molho de mostarda ,18.0,2.6,40.2,444
region pt 100g Molho de soja,17.3,4.7,0.0,89
region pt 100g Molho de tomate,4.9,1.1,8.8,107
region pt 100g Molho de tomate ketchup,26.9,1.7,0.3,119
region pt 100g Molho de vinagrete,0.2,0.2,71.8,648
region pt 100g Molho para francesinha,4.8,1.1,2.6,74
region pt 100g Molho verde,2.3,0.7,25.6,246
region pt 100g Morango,5.3,0.6,0.4,34
region pt 100g Morango desidratado ,50.9,5.8,3.8,322
region pt 100g Morcela crua,12.0,12.0,29.5,363
region pt 100g Morcela grelhada sem adicao de sal,13.1,12.9,25.9,339
region pt 100g Mortadela,1.7,18.3,33.2,379
region pt 100g Mousse de chocolate,31.0,9.5,13.1,285
region pt 100g Mucua ,16.3,2.8,0.1,212
region pt 100g Nabica crua,1.2,2.0,0.0,17
region pt 100g Nabo  cozido,2.3,0.4,0.4,19
region pt 100g Nabo  cru,3.0,0.4,0.4,21
region pt 100g Nata maturada pasteurizada 30% gordura,2.7,1.9,32.0,306
region pt 100g Nata para bater pasteurizada 34% gordura,2.1,2.2,34.0,323
region pt 100g Nata pasteurizada 33% gordura,2.9,2.0,33.0,317
region pt 100g Nata pasteurizada 36% gordura,1.9,2.0,36.0,340
region pt 100g Nata pasteurizada para cafe 15% gordura,2.4,2.0,15.0,153
region pt 100g Nata UHT 35% gordura,3.1,1.8,35.0,335
region pt 100g Nectar de tutti - frutti,10.8,0.1,0.1,46
region pt 100g Nectar de alperce,12.9,0.2,0.1,56
region pt 100g Nectar de ananas,10.5,0.2,0.1,46
region pt 100g Nectar de laranja,9.6,0.2,0.1,43
region pt 100g Nectar de maca,11.3,0.1,0.1,48
region pt 100g Nectar de maca light,4.6,0.1,0.2,22
region pt 100g Nectar de pera,11.0,0.2,0.1,48
region pt 100g Nectar de pessego,11.7,0.2,0.1,51
region pt 100g Nectar de pessego light,3.5,0.1,0.1,18
region pt 100g Nectarina,8.7,1.4,0.1,49
region pt 100g Nespera,10.2,0.4,0.4,51
region pt 100g Noz macadamia,5.1,8.0,76.0,752
region pt 100g Noz pecan,5.4,9.4,72.6,729
region pt 100g Noz miolo,3.6,16.7,67.5,699
region pt 100g Noz-moscada,28.5,5.8,36.3,506
region pt 100g Oleo Becel,0.0,0.0,98.5,887
region pt 100g Oleo alimentar,0.0,0.0,99.5,896
region pt 100g Oleo de amendoim,0.0,0.0,98.5,887
region pt 100g Oleo de coco,0.0,0.0,100.0,900
region pt 100g Oleo de girassol,0.0,0.0,99.5,896
region pt 100g Oleo de linhaca,0.0,0.0,100.0,900
region pt 100g Oleo de palma,0.0,0.0,100.0,900
